device_id,device_type,manufacturer,os_name,app_platform,app_version,is_active
D001,smart_tv,Samsung,Tizen,tv_app,3.1.0,true
D002,mobile,Apple,iOS,ios_app,5.4.2,true
D003,mobile,Google,Android,android_app,4.2.1,true
D004,tablet,Apple,iOS,ios_app,5.4.1,true
D005,tablet,Samsung,Android,android_app,4.2.0,true
D006,mobile,OnePlus,Android,android_app,4.3.0,true
D007,smart_tv,LG,WebOS,tv_app,3.0.5,true
D008,mobile,Xiaomi,Android,android_app,4.2.2,true
D009,desktop,Apple,macOS,web_app,2.1.0,true
D010,desktop,Dell,Windows,web_app,2.1.0,true
D011,smart_tv,Sony,GoogleTV,tv_app,3.1.2,true
D012,mobile,Google,Android,android_app,4.3.1,true
D013,tablet,Huawei,Android,android_app,4.2.0,false
D014,mobile,Nokia,Android,android_app,4.1.5,true
D015,smart_tv,Philips,AndroidTV,tv_app,3.0.0,true
D016,mobile,Apple,iOS,ios_app,5.5.0,true
D017,tablet,Amazon,FireOS,android_app,4.0.0,true
D018,desktop,HP,Windows,web_app,2.0.8,false
D019,mobile,Samsung,Android,android_app,4.3.0,true
D020,smart_tv,TCL,RokuTV,tv_app,3.0.2,true
D021,mobile,Motorola,Android,android_app,4.2.3,true
D022,tablet,Lenovo,Android,android_app,4.1.8,true
D023,smart_tv,Panasonic,FirefoxOS,tv_app,3.0.1,false
D024,mobile,Apple,iOS,ios_app,5.4.2,true
D025,desktop,Asus,Windows,web_app,2.1.1,true
