user_id,signup_date,country_code,market,acquisition_channel,initial_plan_id,initial_subscription_status,age_band,preferred_device_type,created_at
U001,2026-01-05,FI,Finland,organic,PLAN_FREE,free,25-34,smart_tv,2026-01-05 09:00:00
U002,2026-01-11,FI,Finland,paid_social,PLAN_TRIAL,trial,35-44,mobile,2026-01-11 10:30:00
U003,2026-01-15,FI,Finland,email,PLAN_BASIC,active,18-24,mobile,2026-01-15 14:20:00
U004,2026-01-18,SE,Sweden,organic,PLAN_FREE,free,25-34,smart_tv,2026-01-18 08:15:00
U005,2026-01-20,NO,Norway,paid_social,PLAN_TRIAL,trial,45-54,tablet,2026-01-20 11:45:00
U006,2026-01-22,DK,Denmark,referral,PLAN_BASIC,active,35-44,mobile,2026-01-22 19:00:00
U007,2026-01-25,FI,Finland,organic,PLAN_FREE,free,55+,desktop,2026-01-25 07:30:00
U008,2026-01-28,SE,Sweden,paid_social,PLAN_PREMIUM,active,25-34,mobile,2026-01-28 12:10:00
U009,2026-02-01,NO,Norway,email,PLAN_BASIC,active,18-24,smart_tv,2026-02-01 16:00:00
U010,2026-02-05,FI,Finland,referral,PLAN_FREE,free,35-44,mobile,2026-02-05 09:45:00
U011,2026-02-08,DK,Denmark,organic,PLAN_TRIAL,trial,25-34,tablet,2026-02-08 13:20:00
U012,2026-02-10,SE,Sweden,paid_social,PLAN_PREMIUM,active,45-54,smart_tv,2026-02-10 20:00:00
U013,2026-02-12,FI,Finland,email,PLAN_BASIC,active,55+,mobile,2026-02-12 10:15:00
U014,2026-02-14,NO,Norway,organic,PLAN_FREE,free,18-24,desktop,2026-02-14 15:30:00
U015,2026-02-17,FI,Finland,paid_social,PLAN_TRIAL,trial,25-34,mobile,2026-02-17 11:00:00
U016,2026-02-19,SE,Sweden,referral,PLAN_BASIC,active,35-44,smart_tv,2026-02-19 14:45:00
U017,2026-02-21,DK,Denmark,organic,PLAN_FREE,free,45-54,tablet,2026-02-21 08:30:00
U018,2026-02-23,FI,Finland,paid_social,PLAN_PREMIUM,active,18-24,mobile,2026-02-23 17:20:00
U019,2026-02-25,NO,Norway,email,PLAN_BASIC,active,55+,smart_tv,2026-02-25 12:00:00
U020,2026-02-27,SE,Sweden,organic,PLAN_FREE,free,25-34,mobile,2026-02-27 09:10:00
U021,2026-03-01,FI,Finland,referral,PLAN_TRIAL,trial,35-44,desktop,2026-03-01 18:30:00
U022,2026-03-03,DK,Denmark,paid_social,PLAN_BASIC,active,18-24,smart_tv,2026-03-03 13:00:00
U023,2026-03-05,NO,Norway,organic,PLAN_FREE,free,25-34,mobile,2026-03-05 10:45:00
U024,2026-03-07,FI,Finland,email,PLAN_PREMIUM,active,45-54,tablet,2026-03-07 16:15:00
U025,2026-03-09,SE,Sweden,paid_social,PLAN_BASIC,active,35-44,mobile,2026-03-09 11:30:00
